IP,Client,Timestamp,Method,URL,Protocol,Status,Size,Referer,User-Agent,OS,Date,Bot,City,z_score
68.180.224.225,-,2015-05-19 02:05:04+00:00,GET,/files/logstash/logstash-1.1.0beta6-monolithic.jar,HTTP/1.1,200,39376459,-,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),Other,2015-05-19,Yahoo! Slurp,Quincy,11.01357607407627
88.198.255.242,-,2015-05-19 02:05:34+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:21.0) Gecko/20100101 Firefox/21.0,Mac OS X,2015-05-19,,,15.221035256664239
100.2.4.116,-,2015-05-19 04:05:31+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-19,,Brooklyn,15.221035256664239
220.181.51.37,-,2015-05-19 04:05:12+00:00,GET,/files/logstash/logstash-1.1.0-monolithic.jar,HTTP/1.1,200,40923996,-,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/536.11 (KHTML, like Gecko) Chrome/20.0.1132.57 Safari/536.11",Windows,2015-05-19,,,11.449682607614365
46.119.121.49,-,2015-05-19 05:05:16+00:00,GET,/files/logstash/semicomplete.com.access,HTTP/1.1,200,48437287,-,-,Other,2015-05-19,,Lviv,13.566979508091045
68.180.224.225,-,2015-05-19 06:05:45+00:00,GET,/files/logstash/logstash-1.1.1-rc2-monolithic.jar,HTTP/1.1,200,53811944,-,Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp),Other,2015-05-19,Yahoo! Slurp,Quincy,15.081594689005144
82.200.166.110,-,2015-05-19 07:05:48+00:00,GET,/files/logstash/logstash-1.1.9-flatjar.jar,HTTP/1.1,200,65259653,-,Wget/1.13.4 (linux-gnu),Linux,2015-05-19,,Astana,18.307637548686603
203.116.198.120,-,2015-05-19 11:05:40+00:00,GET,/files/logstash/logstash-1.1.0-monolithic.jar,HTTP/1.1,200,40923996,http://logstash.net/docs/1.1.0/tutorials/getting-started-simple,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,Windows,2015-05-19,,Singapore,11.449682607614365
78.46.140.200,-,2015-05-19 11:05:27+00:00,GET,/misc/sample.log,HTTP/1.1,200,54306753,http://www.semicomplete.com/,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.7; rv:22.0) Gecko/20100101 Firefox/22.0,Mac OS X,2015-05-19,,,15.221035256664239
66.249.73.185,-,2015-05-19 13:05:22+00:00,GET,/files/rubygems615/java-ssl-debug.txt,HTTP/1.1,200,22869910,-,"Mozilla/5.0 (iPhone; CPU iPhone OS 6_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) Version/6.0 Mobile/10A5376e Safari/8536.25 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)",iOS,2015-05-19,Googlebot,,6.361917428714815
