Day Index,Users
9/24/22,"1,416"
9/25/22,"1,501"
9/26/22,"5,073"
9/27/22,"6,202"
9/28/22,"3,387"
9/29/22,"3,022"
9/30/22,"2,424"
10/1/22,"1,445"
10/2/22,"1,494"
10/3/22,"2,707"
10/4/22,"2,809"
10/5/22,"2,680"
10/6/22,"2,984"
10/7/22,"2,375"
10/8/22,"1,511"
10/9/22,"1,552"
10/10/22,"2,589"
10/11/22,"2,832"
10/12/22,"3,720"
10/13/22,"3,039"
10/14/22,"2,651"
10/15/22,"1,513"
10/16/22,"1,683"
10/17/22,"3,036"
10/18/22,"2,791"
10/19/22,"3,128"
10/20/22,"2,815"
10/21/22,"2,285"
10/22/22,"1,294"
10/23/22,"1,457"
10/24/22,"2,540"
10/25/22,"2,862"
10/26/22,"2,802"
10/27/22,"2,569"
10/28/22,"2,147"
10/29/22,"1,315"
10/30/22,"1,494"
10/31/22,"2,445"
11/1/22,"3,767"
,"734,176"
