Day Index,Sessions
9/23/22,"2,671"
9/24/22,"1,561"
9/25/22,"1,657"
9/26/22,"5,814"
9/27/22,"7,743"
9/28/22,"3,796"
9/29/22,"3,490"
9/30/22,"2,790"
10/1/22,"1,573"
10/2/22,"1,624"
10/3/22,"2,984"
10/4/22,"3,086"
10/5/22,"3,015"
10/6/22,"3,352"
10/7/22,"2,603"
10/8/22,"1,621"
10/9/22,"1,708"
10/10/22,"2,868"
10/11/22,"3,187"
10/12/22,"4,177"
10/13/22,"3,376"
10/14/22,"2,944"
10/15/22,"1,699"
10/16/22,"1,873"
10/17/22,"3,409"
10/18/22,"3,115"
10/19/22,"3,480"
10/20/22,"3,101"
10/21/22,"2,526"
10/22/22,"1,414"
10/23/22,"1,609"
10/24/22,"2,834"
10/25/22,"3,197"
10/26/22,"3,128"
10/27/22,"2,885"
10/28/22,"2,401"
10/29/22,"1,466"
10/30/22,"1,665"
10/31/22,"2,708"
11/1/22,"4,243"
,"816,219"
